x-axis,Canal,Canal
second,1,2
-10.30000E-06,-50.50227791E-03,-15.09422809E-03
-10.27500E-06,-50.50227791E-03,+6.61431439E-03
-10.25000E-06,-50.50227791E-03,-15.09422809E-03
-10.22500E-06,-130.90428710E-03,-15.09422809E-03
-10.20000E-06,-70.60278021E-03,-15.09422809E-03
-10.17500E-06,+29.89973128E-03,-15.09422809E-03
-10.15000E-06,-130.90428710E-03,-15.09422809E-03
-10.12500E-06,-50.50227791E-03,-15.09422809E-03
-10.10000E-06,-70.60278021E-03,-15.09422809E-03
-10.07500E-06,-50.50227791E-03,-31.37563495E-03
-10.05000E-06,-50.50227791E-03,-15.09422809E-03
-10.02500E-06,-50.50227791E-03,-15.09422809E-03
-10.00000E-06,-130.90428710E-03,-15.09422809E-03
-9.97500E-06,-50.50227791E-03,-15.09422809E-03
-9.95000E-06,-130.90428710E-03,-15.09422809E-03
-9.92500E-06,+29.89973128E-03,+1.18717877E-03
-9.90000E-06,-50.50227791E-03,-15.09422809E-03
-9.87500E-06,-50.50227791E-03,-15.09422809E-03
-9.85000E-06,-50.50227791E-03,-15.09422809E-03
-9.82500E-06,-50.50227791E-03,+1.18717877E-03
-9.80000E-06,-130.90428710E-03,-15.09422809E-03
-9.77500E-06,-50.50227791E-03,-15.09422809E-03
-9.75000E-06,-50.50227791E-03,-15.09422809E-03
-9.72500E-06,-130.90428710E-03,-15.09422809E-03
-9.70000E-06,-50.50227791E-03,+6.61431439E-03
-9.67500E-06,-130.90428710E-03,-15.09422809E-03
-9.65000E-06,-130.90428710E-03,-15.09422809E-03
-9.62500E-06,-30.40177561E-03,-15.09422809E-03
-9.60000E-06,-50.50227791E-03,-15.09422809E-03
-9.57500E-06,-70.60278022E-03,-15.09422809E-03
-9.55000E-06,-50.50227791E-03,-15.09422809E-03
-9.52500E-06,-50.50227791E-03,-15.09422809E-03
-9.50000E-06,-50.50227791E-03,-15.09422809E-03
-9.47500E-06,-50.50227791E-03,-15.09422809E-03
-9.45000E-06,-110.80378480E-03,-15.09422809E-03
-9.42500E-06,-130.90428710E-03,-9.66709247E-03
-9.40000E-06,-50.50227791E-03,-9.66709247E-03
-9.37500E-06,-50.50227791E-03,-15.09422809E-03
-9.35000E-06,+9.79922897E-03,+6.61431439E-03
-9.32500E-06,-50.50227791E-03,-15.09422809E-03
-9.30000E-06,-50.50227791E-03,-15.09422809E-03
-9.27500E-06,-50.50227791E-03,-15.09422809E-03
-9.25000E-06,-50.50227791E-03,-15.09422809E-03
-9.22500E-06,-110.80378479E-03,-15.09422809E-03
-9.20000E-06,-130.90428710E-03,-15.09422809E-03
-9.17500E-06,-110.80378479E-03,+6.61431439E-03
-9.15000E-06,-50.50227791E-03,-15.09422809E-03
-9.12500E-06,-70.60278022E-03,-15.09422809E-03
-9.10000E-06,-130.90428710E-03,-15.09422809E-03
-9.07500E-06,-50.50227791E-03,-15.09422809E-03
-9.05000E-06,-50.50227791E-03,-15.09422809E-03
-9.02500E-06,-50.50227791E-03,-15.09422809E-03
-9.00000E-06,-130.90428710E-03,-15.09422809E-03
-8.97500E-06,-50.50227791E-03,-15.09422809E-03
-8.95000E-06,-50.50227791E-03,-15.09422809E-03
-8.92500E-06,-50.50227791E-03,-15.09422809E-03
-8.90000E-06,+29.89973128E-03,-20.52136371E-03
-8.87500E-06,-130.90428710E-03,-15.09422809E-03
-8.85000E-06,-70.60278022E-03,-15.09422809E-03
-8.82500E-06,-50.50227791E-03,+6.61431439E-03
-8.80000E-06,+29.89973128E-03,-15.09422809E-03
-8.77500E-06,+29.89973128E-03,-31.37563495E-03
-8.75000E-06,-50.50227791E-03,-31.37563495E-03
-8.72500E-06,+9.79922897E-03,-15.09422809E-03
-8.70000E-06,-50.50227791E-03,-15.09422809E-03
-8.67500E-06,-130.90428710E-03,-15.09422809E-03
-8.65000E-06,-50.50227791E-03,-15.09422809E-03
-8.62500E-06,-30.40177560E-03,-15.09422809E-03
-8.60000E-06,-50.50227791E-03,-15.09422809E-03
-8.57500E-06,-110.80378479E-03,-15.09422809E-03
-8.55000E-06,-50.50227791E-03,-15.09422809E-03
